Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
United Kingdom,2015-03-10,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-03-10,4314.0,1879.0,3150.0,9343.0,,,,4162.0
Senegal,2015-03-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-03-10,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-03-11,22.0,392.0,2871.0,3285.0,,392.0,1778.0,2170.0
United States of America,2015-03-11,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-03-11,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-03-11,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-03-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-03-11,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-03-11,4314.0,1879.0,3150.0,9343.0,,,,4162.0
Spain,2015-03-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-03-11,2904.0,287.0,8428.0,11619.0,158.0,208.0,3263.0,3629.0
Nigeria,2015-03-12,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-03-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-03-12,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-03-12,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-03-12,2927.0,287.0,8463.0,11677.0,158.0,208.0,3289.0,3655.0
Liberia,2015-03-12,4314.0,1879.0,3150.0,9343.0,,,,4162.0
Guinea,2015-03-12,34.0,395.0,2901.0,3330.0,,395.0,1792.0,2187.0
Senegal,2015-03-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-03-12,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-03-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-03-13,4453.0,1879.0,3150.0,9482.0,,,,4241.0
Sierra Leone,2015-03-13,2940.0,287.0,8469.0,11696.0,158.0,208.0,3297.0,3663.0
United States of America,2015-03-13,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-03-13,25.0,395.0,2911.0,3331.0,,395.0,1797.0,2192.0
United Kingdom,2015-03-13,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-03-13,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-03-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-03-13,0.0,1.0,7.0,8.0,,,,6.0
Mali,2015-03-16,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-03-16,21.0,395.0,2957.0,3373.0,,395.0,1821.0,2216.0
Sierra Leone,2015-03-16,2971.0,287.0,8484.0,11742.0,158.0,208.0,3321.0,3687.0
Senegal,2015-03-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-03-16,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-03-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-03-16,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-03-16,4453.0,1879.0,3150.0,9482.0,,,,4241.0
United Kingdom,2015-03-16,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-03-17,28.0,395.0,2966.0,3389.0,,395.0,1829.0,2224.0
Mali,2015-03-17,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-03-17,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-03-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-03-17,2977.0,287.0,8487.0,11751.0,158.0,208.0,3325.0,3691.0
Liberia,2015-03-17,4497.0,1879.0,3150.0,9526.0,,,,4264.0
Spain,2015-03-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-03-17,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-03-17,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-03-18,4497.0,1879.0,3150.0,9526.0,,,,4264.0
Sierra Leone,2015-03-18,2977.0,287.0,8487.0,11751.0,158.0,208.0,3325.0,3691.0
Spain,2015-03-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-03-18,28.0,395.0,2966.0,3389.0,,395.0,1829.0,2224.0
United Kingdom,2015-03-18,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-03-18,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-03-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-03-18,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-03-18,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-03-20,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-03-20,21.0,395.0,2988.0,3404.0,,395.0,1846.0,2241.0
Sierra Leone,2015-03-20,2999.0,287.0,8508.0,11794.0,158.0,208.0,3346.0,3712.0
United States of America,2015-03-20,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-03-20,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-03-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-03-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-03-20,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-03-20,4526.0,1879.0,3150.0,9555.0,,,,4283.0
United States of America,2015-03-23,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-03-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-03-23,4563.0,1879.0,3151.0,9593.0,,,,4296.0
Mali,2015-03-23,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-03-23,3024.0,287.0,8518.0,11829.0,158.0,208.0,3376.0,3742.0
United Kingdom,2015-03-23,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-03-23,15.0,398.0,3007.0,3420.0,,398.0,1863.0,2261.0
Spain,2015-03-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-03-23,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-03-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-03-24,3034.0,287.0,8520.0,11841.0,158.0,208.0,3381.0,3747.0
Guinea,2015-03-24,20.0,398.0,3011.0,3429.0,,398.0,1865.0,2263.0
Spain,2015-03-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-03-24,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-03-24,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-03-24,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-03-24,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-03-24,4572.0,1879.0,3151.0,9602.0,,,,4301.0
Senegal,2015-03-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-03-25,4572.0,1879.0,3151.0,9602.0,,,,4301.0
Spain,2015-03-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-03-25,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-03-25,3034.0,287.0,8520.0,11841.0,158.0,208.0,3381.0,3747.0
United Kingdom,2015-03-25,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-03-25,20.0,398.0,3011.0,3429.0,,398.0,1865.0,2263.0
Nigeria,2015-03-25,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-03-25,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-03-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-03-26,29.0,398.0,3032.0,3459.0,,398.0,1875.0,2273.0
Senegal,2015-03-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-03-26,3050.0,287.0,8529.0,11866.0,158.0,208.0,3398.0,3764.0
Liberia,2015-03-26,4572.0,1879.0,3151.0,9602.0,,,,4301.0
Mali,2015-03-26,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-03-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-03-26,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-03-26,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-03-27,4572.0,1879.0,3151.0,9602.0,,,,4301.0
Spain,2015-03-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-03-27,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-03-27,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-03-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-03-27,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-03-27,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-03-27,26.0,398.0,3042.0,3466.0,,398.0,1878.0,2276.0
Sierra Leone,2015-03-27,3070.0,287.0,8532.0,11889.0,158.0,208.0,3407.0,3773.0
Spain,2015-04-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-04-07,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-04-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-04-07,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-04-07,12.0,414.0,3089.0,3515.0,,414.0,1919.0,2333.0
United Kingdom,2015-04-07,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-04-07,4832.0,1879.0,3151.0,9862.0,,,,4408.0
United States of America,2015-04-07,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-04-07,3297.0,287.0,8555.0,12139.0,158.0,208.0,3466.0,3832.0
Liberia,2015-04-09,4832.0,1879.0,3151.0,9862.0,,,,4408.0
United Kingdom,2015-04-09,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-04-09,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-04-09,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-04-09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-04-09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-04-09,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-04-09,8.0,414.0,3093.0,3515.0,,414.0,1921.0,2335.0
Sierra Leone,2015-04-09,3310.0,287.0,8558.0,12155.0,158.0,208.0,3475.0,3841.0
Sierra Leone,2015-04-13,3341.0,287.0,8560.0,12188.0,158.0,208.0,3488.0,3854.0
Senegal,2015-04-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-04-13,4832.0,1879.0,3151.0,9862.0,,,,4408.0
Mali,2015-04-13,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-04-13,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-04-13,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-04-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-04-13,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-04-13,15.0,414.0,3112.0,3541.0,,414.0,1928.0,2342.0
Sierra Leone,2015-04-14,3351.0,287.0,8563.0,12201.0,158.0,208.0,3491.0,3857.0
United Kingdom,2015-04-14,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-04-14,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-04-14,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-04-14,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-04-14,17.0,414.0,3117.0,3548.0,,414.0,1932.0,2346.0
Liberia,2015-04-14,4832.0,1879.0,3151.0,9862.0,,,,4408.0
Senegal,2015-04-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-04-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-04-15,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-04-15,3351.0,287.0,8563.0,12201.0,158.0,208.0,3491.0,3857.0
Liberia,2015-04-15,5012.0,1879.0,3151.0,10042.0,,,,4486.0
Senegal,2015-04-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-04-15,17.0,414.0,3117.0,3548.0,,414.0,1932.0,2346.0
United States of America,2015-04-15,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-04-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-04-15,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-04-15,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-04-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-04-16,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-04-16,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-04-16,3370.0,287.0,8566.0,12223.0,158.0,208.0,3499.0,3865.0
Nigeria,2015-04-16,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-04-16,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-04-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-04-16,5012.0,1879.0,3151.0,10042.0,,,,4486.0
Guinea,2015-04-16,28.0,414.0,3124.0,3566.0,,414.0,1934.0,2348.0
Guinea,2015-04-17,29.0,414.0,3126.0,3569.0,,414.0,1937.0,2351.0
Nigeria,2015-04-17,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-04-17,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-04-17,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-04-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-04-17,5012.0,1879.0,3151.0,10042.0,,,,4486.0
Spain,2015-04-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-04-17,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-04-17,3388.0,287.0,8569.0,12244.0,158.0,208.0,3499.0,3865.0
United Kingdom,2015-04-20,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-04-20,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-04-20,3397.0,287.0,8572.0,12256.0,158.0,208.0,3506.0,3872.0
Senegal,2015-04-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-04-20,17.0,415.0,3133.0,3565.0,,415.0,1942.0,2357.0
Liberia,2015-04-20,5012.0,1879.0,3151.0,10042.0,,,,4486.0
Nigeria,2015-04-20,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-04-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-04-20,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-04-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-04-21,5012.0,1879.0,3151.0,10042.0,,,,4486.0
Nigeria,2015-04-21,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-04-21,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-04-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-04-21,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-04-21,14.0,415.0,3136.0,3565.0,,415.0,1943.0,2358.0
United Kingdom,2015-04-21,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-04-21,3405.0,287.0,8573.0,12265.0,158.0,208.0,3511.0,3877.0
United Kingdom,2015-04-22,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-04-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-04-22,3405.0,287.0,8575.0,12267.0,158.0,208.0,3511.0,3877.0
Mali,2015-04-22,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-04-22,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-04-22,14.0,415.0,3136.0,3565.0,,415.0,1943.0,2358.0
Senegal,2015-04-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-04-22,5182.0,1879.0,3151.0,10212.0,,,,4573.0
Nigeria,2015-04-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-04-23,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-04-23,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-04-23,5182.0,1879.0,3151.0,10212.0,,,,4573.0
Guinea,2015-04-23,9.0,415.0,3144.0,3568.0,,415.0,1947.0,2362.0
Nigeria,2015-04-23,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-04-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-04-23,3426.0,287.0,8581.0,12294.0,158.0,208.0,3519.0,3885.0
United States of America,2015-04-23,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-04-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-04-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-04-24,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-04-24,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-04-24,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-04-24,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-04-24,5182.0,1879.0,3151.0,10212.0,,,,4573.0
Guinea,2015-04-24,16.0,415.0,3145.0,3576.0,,415.0,1950.0,2365.0
Sierra Leone,2015-04-24,3442.0,287.0,8584.0,12313.0,158.0,208.0,3520.0,3886.0
Senegal,2015-04-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-04-27,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-04-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-04-27,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-04-27,5182.0,1879.0,3151.0,10212.0,,,,4573.0
Nigeria,2015-04-27,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-04-27,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-04-27,3490.0,287.0,8585.0,12362.0,158.0,208.0,3529.0,3895.0
Guinea,2015-04-27,16.0,415.0,3154.0,3585.0,,415.0,1959.0,2374.0
Senegal,2015-04-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-04-28,3498.0,287.0,8586.0,12371.0,158.0,208.0,3533.0,3899.0
Nigeria,2015-04-28,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-04-28,11.0,415.0,3158.0,3584.0,,415.0,1962.0,2377.0
Senegal,2015-04-28,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-04-28,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-04-28,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-04-28,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-04-28,5292.0,1879.0,3151.0,10322.0,,,,4608.0
Mali,2015-04-28,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-04-30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-04-30,7.0,415.0,3159.0,3581.0,,415.0,1966.0,2381.0
United States of America,2015-04-30,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-04-30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-04-30,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-04-30,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-04-30,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-04-30,3512.0,287.0,8588.0,12387.0,158.0,208.0,3535.0,3901.0
Liberia,2015-04-30,5292.0,1879.0,3151.0,10322.0,,,,4608.0
Sierra Leone,2015-05-01,3521.0,287.0,8590.0,12398.0,158.0,208.0,3535.0,3901.0
Mali,2015-05-01,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-05-01,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-05-01,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-05-01,2.0,415.0,3161.0,3578.0,,415.0,1968.0,2383.0
Senegal,2015-05-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-05-01,5292.0,1879.0,3151.0,10322.0,,,,4608.0
United Kingdom,2015-05-01,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-05-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-05-04,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-05-04,3547.0,287.0,8592.0,12426.0,158.0,208.0,3536.0,3902.0
Liberia,2015-05-04,5292.0,1879.0,3151.0,10322.0,,,,4608.0
Mali,2015-05-04,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-05-04,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-05-04,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-05-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-05-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-05-04,13.0,415.0,3163.0,3591.0,,415.0,1970.0,2385.0
Mali,2015-05-05,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-05-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-05-05,5477.0,1879.0,3151.0,10507.0,,,,4691.0
United States of America,2015-05-05,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-05-05,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-05-05,3558.0,287.0,8595.0,12440.0,158.0,208.0,3537.0,3903.0
United Kingdom,2015-05-05,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-05-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-05-05,7.0,415.0,3167.0,3589.0,,415.0,1971.0,2386.0
Guinea,2015-05-06,7.0,415.0,3167.0,3589.0,,415.0,1971.0,2386.0
Liberia,2015-05-06,5534.0,1879.0,3151.0,10564.0,,,,4716.0
United Kingdom,2015-05-06,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-05-06,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-05-06,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-05-06,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-05-06,3558.0,287.0,8595.0,12440.0,158.0,208.0,3537.0,3903.0
Senegal,2015-05-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-05-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-05-07,5534.0,1879.0,3151.0,10564.0,,,,4716.0
Spain,2015-05-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-05-07,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-05-07,3586.0,287.0,8597.0,12470.0,158.0,208.0,3538.0,3904.0
United States of America,2015-05-07,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-05-07,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-05-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-05-07,7.0,415.0,3170.0,3592.0,,415.0,1972.0,2387.0
Nigeria,2015-05-07,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-05-08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-05-08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-05-08,3608.0,287.0,8597.0,12492.0,158.0,208.0,3538.0,3904.0
United States of America,2015-05-08,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-05-08,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-05-08,5534.0,1879.0,3151.0,10564.0,,,,4716.0
United Kingdom,2015-05-08,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-05-08,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-05-08,7.0,415.0,3170.0,3592.0,,415.0,1972.0,2387.0
United Kingdom,2015-05-11,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-05-11,11.0,415.0,3173.0,3599.0,,415.0,1976.0,2391.0
Senegal,2015-05-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-05-11,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-05-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-05-11,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-05-11,5574.0,1879.0,3151.0,10604.0,,,,4769.0
Nigeria,2015-05-11,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-05-11,3635.0,287.0,8597.0,12519.0,158.0,208.0,3538.0,3904.0
Senegal,2015-05-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-05-12,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-05-12,5574.0,1879.0,3151.0,10604.0,,,,4769.0
United States of America,2015-05-12,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-05-12,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-05-12,3639.0,287.0,8597.0,12523.0,158.0,208.0,3538.0,3904.0
Nigeria,2015-05-12,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-05-12,8.0,415.0,3174.0,3597.0,,415.0,1977.0,2392.0
Spain,2015-05-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-05-13,3635.0,287.0,8597.0,12519.0,158.0,208.0,3538.0,3904.0
United Kingdom,2015-05-13,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-05-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-05-13,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-05-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-05-13,5574.0,1879.0,3151.0,10604.0,,,,4769.0
